    Upvotes  Chapters
0     289.0       213
1     338.0       214
2     531.0       215
3     676.0       216
4     459.0       217
5     606.0       218
6     530.0       219
7     698.0       220
8     952.0       221
9     897.0       222
10   1100.0       223
11   1000.0       224
12    887.0       225
13    777.0       226
14    783.0       227
15    765.0       228
16    843.0       229
17    724.0       230
18    690.0       231
19    615.0       232
20    695.0       233
21   1000.0       234
22    752.0       235
23    814.0       236
24    788.0       237
25    735.0       238
26    833.0       239
27    772.0       240
28    694.0       241
29    867.0       242
30    821.0       243
31   1100.0       244
32    897.0       245
33    945.0       246
34    757.0       247
35    706.0       248
36    608.0       249
37    780.0       250
38    684.0       251
39    560.0       252
40    614.0       253
41    558.0       254
42    827.0       255
43    741.0       256
